date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_speed_10m_mean,wind_gusts_10m_max
2021-01-01,2.4,-7.2,-2.1,-6.9,0.0,0.0,15.1,10.1,29.9
2021-01-02,4.3,-3.8,-0.5,-5.0,0.0,0.0,13.7,10.3,25.9
2021-01-03,3.9,-2.2,1.1,-2.2,0.0,0.0,9.2,5.7,17.3
2021-01-04,5.3,-1.5,1.3,-3.1,0.0,0.0,25.0,12.9,40.3
2021-01-05,0.3,-5.4,-2.5,-8.9,0.0,0.0,29.7,21.3,50.8
2021-01-06,0.6,-9.7,-5.3,-12.6,0.0,0.0,43.8,25.6,72.7
2021-01-07,-8.7,-14.2,-11.1,-20.1,0.0,0.0,42.8,35.3,69.8
2021-01-08,-3.5,-8.8,-6.6,-13.8,0.0,0.0,29.1,23.0,50.0
2021-01-09,-0.7,-6.2,-3.9,-10.3,0.0,0.0,29.8,18.9,51.1
2021-01-10,1.3,-5.1,-2.3,-8.0,0.0,0.0,25.1,15.5,43.6
2021-01-11,2.3,-4.8,-1.8,-6.2,0.0,0.0,11.7,7.3,23.0
2021-01-12,4.2,-4.1,0.5,-4.7,0.0,0.0,24.4,14.8,40.0
2021-01-13,9.1,-1.6,3.2,-1.2,0.0,0.0,19.9,12.1,32.0
2021-01-14,8.2,2.1,5.2,0.6,0.0,0.0,28.9,19.6,46.1
2021-01-15,5.9,-3.2,2.0,-3.9,0.0,0.0,37.3,24.3,62.6
2021-01-16,0.9,-5.1,-2.6,-8.7,0.0,0.0,29.5,19.0,49.3
2021-01-17,3.7,-4.2,-0.5,-5.8,0.0,0.0,18.0,13.7,33.8
2021-01-18,5.7,-1.5,1.0,-4.3,0.0,0.0,20.5,14.7,35.6
2021-01-19,5.0,-1.7,2.0,-3.9,0.0,0.0,28.3,23.6,48.2
2021-01-20,7.5,3.9,5.4,1.3,0.0,0.0,25.5,17.3,40.7
2021-01-21,9.1,1.8,5.5,3.0,0.1,0.1,16.2,8.4,25.9
2021-01-22,4.8,0.2,2.0,-2.4,0.0,0.0,20.4,15.8,34.6
2021-01-23,5.2,-1.2,1.0,-3.6,0.0,0.0,18.7,15.1,32.0
2021-01-24,4.8,-2.2,1.3,-2.1,0.0,0.0,14.7,8.3,24.8
2021-01-25,7.7,2.5,5.1,2.9,0.5,0.5,14.6,5.1,22.3
2021-01-26,7.0,0.9,3.4,-1.5,2.0,2.0,27.3,19.3,47.2
2021-01-27,5.8,-2.2,2.8,-1.5,0.0,0.0,23.1,13.4,37.4
2021-01-28,4.4,-4.8,-0.0,-7.9,0.0,0.0,45.9,32.3,76.3
2021-01-29,4.0,-6.6,0.2,-4.9,0.0,0.0,25.4,15.6,43.6
2021-01-30,6.8,-0.6,3.9,0.3,0.0,0.0,16.8,10.5,29.2
2021-01-31,7.3,1.6,4.8,1.2,0.0,0.0,22.7,13.8,37.8
2021-02-01,9.3,-3.0,4.3,-1.0,0.0,0.0,28.7,18.7,47.2
